Batch,Provinsi,Kab/kota,Kategori,Divaksin 1
SDM KESEHATAN,Lampung,Kota Metro,SDM KESEHATAN,25
SDM KESEHATAN,Lampung,Kab. Pesawaran,LANSIA,0
SDM KESEHATAN,Lampung,Kab. Lampung Timur,SDM KESEHATAN,9
SDM KESEHATAN,Lampung,Kab. Mesuji,SDM KESEHATAN,1
SDM KESEHATAN,Lampung,Kab. Pesawaran,Menunggu Konfirmasi,1
SDM KESEHATAN,Lampung,Kab. Tulang Bawang,SDM KESEHATAN,12
SDM KESEHATAN,Lampung,Kab. Mesuji,PELAYAN PUBLIK,1
SDM KESEHATAN,Lampung,Kab. Lampung Timur,Menunggu Konfirmasi,2
SDM KESEHATAN,Lampung,Kab. Mesuji,Menunggu Konfirmasi,1
SDM KESEHATAN,Lampung,Kota Bandar Lampung,Menunggu Konfirmasi,0
SDM KESEHATAN,Lampung,Kab. Lampung Tengah,SDM KESEHATAN,2
SDM KESEHATAN,Lampung,Kota Bandar Lampung,SDM KESEHATAN,96
SDM KESEHATAN,Lampung,Kab. Mesuji,SDM KESEHATAN,0
SDM KESEHATAN,Lampung,Kab. Lampung Tengah,SDM KESEHATAN,23
SDM KESEHATAN,Lampung,Kab. Lampung Tengah,SDM KESEHATAN,1
SDM KESEHATAN,Lampung,Kota Bandar Lampung,SDM KESEHATAN,5
SDM KESEHATAN,Lampung,Kota Bandar Lampung,SDM KESEHATAN,21
SDM KESEHATAN,Lampung,Kota Metro,SDM KESEHATAN,1
SDM KESEHATAN,Lampung,Kab. Tanggamus,SDM KESEHATAN,8
SDM KESEHATAN,Lampung,Kab. Lampung Utara,SDM KESEHATAN,10
SDM KESEHATAN,Lampung,Kab. Lampung Selatan,SDM KESEHATAN,20
SDM KESEHATAN,Lampung,Kab. Lampung Tengah,SDM KESEHATAN,63
SDM KESEHATAN,Lampung,Kab. Lampung Selatan,SDM KESEHATAN,26
SDM KESEHATAN,Lampung,Kab. Way Kanan,SDM KESEHATAN,20
