Batch,Provinsi,Kab/kota,Kategori,Prov,Divaksin 2
SDM KESEHATAN,Lampung,Kota Metro,SDM KESEHATAN,Lampung,1
SDM KESEHATAN,Lampung,Kab. Tanggamus,SDM KESEHATAN,Lampung,0
SDM KESEHATAN,Lampung,Kab. Pesawaran,LANSIA,Lampung,1
SDM KESEHATAN,Lampung,Kab. Lampung Timur,SDM KESEHATAN,Lampung,13
SDM KESEHATAN,Lampung,Kab. Mesuji,SDM KESEHATAN,Lampung,0
SDM KESEHATAN,Lampung,Kab. Lampung Selatan,SDM KESEHATAN,Lampung,29
SDM KESEHATAN,Lampung,Kota Bandar Lampung,PENDIDIK,Lampung,1
SDM KESEHATAN,Lampung,Kab. Way Kanan,MASYARAKAT UMUM,Lampung,1
SDM KESEHATAN,Lampung,Kab. Tulang Bawang,SDM KESEHATAN,Lampung,92
SDM KESEHATAN,Lampung,Kab. Lampung Tengah,Menunggu Konfirmasi,Lampung,0
SDM KESEHATAN,Lampung,Kab. Pringsewu,SDM KESEHATAN,Lampung,45
SDM KESEHATAN,Lampung,Kab. Tanggamus,SDM KESEHATAN,Lampung,1
SDM KESEHATAN,Lampung,Kab. Lampung Tengah,SDM KESEHATAN,Lampung,9
SDM KESEHATAN,Lampung,Kab. Pesawaran,Menunggu Konfirmasi,Lampung,0
SDM KESEHATAN,Lampung,Kota Bandar Lampung,SDM KESEHATAN,Lampung,847
SDM KESEHATAN,Lampung,Kab. Mesuji,SDM KESEHATAN,Lampung,10
SDM KESEHATAN,Lampung,Kab. Lampung Tengah,SDM KESEHATAN,Lampung,68
SDM KESEHATAN,Lampung,Kab. Lampung Utara,PENDIDIK,Lampung,0
SDM KESEHATAN,Lampung,Kab. Lampung Tengah,PENDIDIK,Lampung,0
SDM KESEHATAN,Lampung,Kab. Tulang Bawang,PENDIDIK,Lampung,0
SDM KESEHATAN,Lampung,Kab. Lampung Selatan,PENDIDIK,Lampung,2
SDM KESEHATAN,Lampung,Kab. Lampung Tengah,PENDIDIK,Lampung,1
SDM KESEHATAN,Lampung,Kota Bandar Lampung,POLRI,Lampung,1
SDM KESEHATAN,Lampung,Kab. Lampung Tengah,SDM KESEHATAN,Lampung,39
SDM KESEHATAN,Lampung,Kab. Lampung Barat,SDM KESEHATAN,Lampung,5
SDM KESEHATAN,Lampung,Kab. Lampung Selatan,SDM KESEHATAN,Lampung,3
SDM KESEHATAN,Lampung,Kota Bandar Lampung,MASYARAKAT UMUM,Lampung,1
SDM KESEHATAN,Lampung,Kab. Lampung Timur,PELAYAN PUBLIK,Lampung,1
SDM KESEHATAN,Lampung,Kab. Pesisir Barat,PELAYAN PUBLIK,Lampung,1
SDM KESEHATAN,Lampung,Kab. Lampung Barat,SDM KESEHATAN,Lampung,1
SDM KESEHATAN,Lampung,Kab. Lampung Utara,SDM KESEHATAN,Lampung,2
SDM KESEHATAN,Lampung,Kab. Mesuji,SDM KESEHATAN,Lampung,1
SDM KESEHATAN,Lampung,Kab. Tanggamus,SDM KESEHATAN,Lampung,11
SDM KESEHATAN,Lampung,Kab. Lampung Utara,SDM KESEHATAN,Lampung,29
SDM KESEHATAN,Lampung,Kab. Lampung Selatan,SDM KESEHATAN,Lampung,192
SDM KESEHATAN,Lampung,Kab. Lampung Tengah,SDM KESEHATAN,Lampung,399
SDM KESEHATAN,Lampung,Kab. Lampung Selatan,SDM KESEHATAN,Lampung,116
SDM KESEHATAN,Lampung,Kab. Way Kanan,SDM KESEHATAN,Lampung,188
SDM KESEHATAN,Lampung,Kab. Lampung Utara,SDM KESEHATAN,Lampung,128
